Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Hypertension ,lack of concentration:1,dizziness:1,chest pain:3,headache:1,,,,
Hypertension ,loss of balance:1,dizziness:1,chest pain:3,headache:1,,,,
Hypertension ,loss of balance:1,dizziness:1,chest pain:3,headache:1,,,,
Hypertension ,lack of concentration:1,loss of balance:1,dizziness:1,chest pain:3,,,,
Hypertension ,lack of concentration:1,loss of balance:1,dizziness:1,headache:1,,,,
Hypertension ,lack of concentration:1,loss of balance:1,chest pain:3,headache:1,,,,
Migraine,blurred and distorted vision:1,acidity:1,indigestion:1,headache:1,,,,
Migraine,blurred and distorted vision:1,indigestion:1,excessive hunger:1,headache:1,,,,
Migraine,blurred and distorted vision:1,acidity:1,excessive hunger:1,headache:1,,,,
Migraine,blurred and distorted vision:1,acidity:1,indigestion:1,excessive hunger:1,,,,
Migraine,acidity:1,indigestion:1,excessive hunger:1,headache:1,,,,
Migraine,blurred and distorted vision:1,acidity:1,indigestion:1,headache:1,,,,
Migraine,blurred and distorted vision:1,acidity:1,indigestion:1,headache:1,,,,
Migraine,blurred and distorted vision:1,acidity:1,indigestion:1,headache:1,,,,
Migraine,blurred and distorted vision:1,acidity:1,indigestion:1,headache:1,,,,
Migraine,blurred and distorted vision:1,acidity:1,indigestion:1,headache:1,,,,
Cervical spondylosis,neck pain:2,weakness in limbs:1,dizziness:1,back pain:2,,,,
Cervical spondylosis,neck pain:2,weakness in limbs:1,dizziness:1,back pain:2,,,,
Cervical spondylosis,neck pain:2,weakness in limbs:1,loss of balance:1,dizziness:1,,,,
Cervical spondylosis,neck pain:2,loss of balance:1,dizziness:1,back pain:2,,,,
Cervical spondylosis,weakness in limbs:1,loss of balance:1,dizziness:1,back pain:2,,,,
Cervical spondylosis,neck pain:2,weakness in limbs:1,loss of balance:1,back pain:2,,,,
Cervical spondylosis,neck pain:2,weakness in limbs:1,dizziness:1,back pain:2,,,,
Cervical spondylosis,neck pain:2,weakness in limbs:1,dizziness:1,back pain:2,,,,
Cervical spondylosis,neck pain:2,weakness in limbs:1,loss of balance:1,dizziness:1,,,,
Cervical spondylosis,neck pain:2,loss of balance:1,dizziness:1,back pain:2,,,,
Paralysis (brain hemorrhage),weakness of one body side:1,altered sensorium:1,headache:1,vomiting:2,,,,
Paralysis (brain hemorrhage),weakness of one body side:1,altered sensorium:1,headache:1,vomiting:2,,,,
Paralysis (brain hemorrhage),weakness of one body side:1,,altered sensorium:1,headache:1,,,,
Paralysis (brain hemorrhage),weakness of one body side:1,,altered sensorium:1,vomiting:2,,,,
Paralysis (brain hemorrhage),altered sensorium:1,,headache:1,vomiting:2,,,,
Paralysis (brain hemorrhage),weakness of one body side:1,,headache:1,vomiting:2,,,,
Paralysis (brain hemorrhage),weakness of one body side:1,altered sensorium:1,headache:1,vomiting:2,,,,
Paralysis (brain hemorrhage),weakness of one body side:1,,altered sensorium:1,headache:1,,,,
Paralysis (brain hemorrhage),weakness of one body side:1,,altered sensorium:1,vomiting:2,,,,
Paralysis (brain hemorrhage),altered sensorium:1,,headache:1,vomiting:2,,,,
Jaundice,itching:1,fatigue:1,weight loss:1,vomiting:2,,,,
Jaundice,itching:1,fatigue:1,weight loss:1,vomiting:2,,,,
Jaundice,high fever:2,fatigue:1,weight loss:1,vomiting:2,,,,
Jaundice,itching:1,fatigue:1,weight loss:1,high fever:2,,,,
Jaundice,itching:1,high fever:2,weight loss:1,vomiting:2,,,,
Jaundice,itching:1,fatigue:1,high fever:2,vomiting:2,,,,
Jaundice,itching:1,fatigue:1,weight loss:1,vomiting:2,,,,
Jaundice,itching:1,fatigue:1,weight loss:1,vomiting:2,,,,
Jaundice,itching:1,fatigue:1,weight loss:1,vomiting:2,,,,
Jaundice,itching:1,fatigue:1,weight loss:1,vomiting:2,,,,
Malaria,chills:1,sweating:1,high fever:2,vomiting:2,,,,
Malaria,chills:1,sweating:1,high fever:2,vomiting:2,,,,
Malaria,chills:1,sweating:1,high fever:2,vomiting:2,,,,
Malaria,sweating:1,high fever:2,headache:1,vomiting:2,,,,
Malaria,chills:1,sweating:1,high fever:2,headache:1,,,,
Malaria,chills:1,sweating:1,headache:1,vomiting:2,,,,
Malaria,chills:1,high fever:2,headache:1,vomiting:2,,,,
Malaria,chills:1,sweating:1,high fever:2,vomiting:2,,,,
Malaria,chills:1,sweating:1,high fever:2,vomiting:2,,,,
Malaria,chills:1,sweating:1,high fever:2,vomiting:2,,,,
Chicken pox,itching:1,skin rash:1,fatigue:1,lethargy:1,,,,
Chicken pox,skin rash:1,fatigue:1,high fever:2,lethargy:1,,,,
Chicken pox,itching:1,fatigue:1,high fever:2,lethargy:1,,,,
Chicken pox,itching:1,skin rash:1,lethargy:1,high fever:2,,,,
Chicken pox,itching:1,skin rash:1,fatigue:1,high fever:2,,,,
Chicken pox,itching:1,skin rash:1,fatigue:1,lethargy:1,,,,
Chicken pox,itching:1,skin rash:1,fatigue:1,lethargy:1,,,,
Chicken pox,itching:1,skin rash:1,fatigue:1,lethargy:1,,,,
Chicken pox,itching:1,skin rash:1,fatigue:1,lethargy:1,,,,
Chicken pox,itching:1,skin rash:1,fatigue:1,lethargy:1,,,,
Dengue,chills:1,skin rash:1,joint pain:2,vomiting:2,,,,
Dengue,chills:1,skin rash:1,joint pain:2,vomiting:2,,,,
Dengue,chills:1,skin rash:1,joint pain:2,vomiting:2,,,,
Dengue,chills:1,skin rash:1,joint pain:2,vomiting:2,,,,
Dengue,chills:1,fatigue:1,joint pain:2,vomiting:2,,,,
Dengue,skin rash:1,fatigue:1,joint pain:2,vomiting:2,,,,
Dengue,chills:1,skin rash:1,fatigue:1,vomiting:2,,,,
Dengue,chills:1,skin rash:1,fatigue:1,joint pain:2,,,,
Dengue,chills:1,skin rash:1,joint pain:2,vomiting:2,,,,
Dengue,chills:1,skin rash:1,joint pain:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,vomiting:2,,,,
Typhoid,chills:1,fatigue:1,high fever:2,headache:1,,,,
hepatitis A,dark urine:1,yellowish skin:1,joint pain:2,vomiting:2,,,,
hepatitis A,dark urine:1,yellowish skin:1,joint pain:2,vomiting:2,,,,
hepatitis A,nausea:1,dark urine:1,yellowish skin:1,vomiting:2,,,,
hepatitis A,nausea:1,dark urine:1,yellowish skin:1,joint pain:2,,,,
hepatitis A,nausea:1,dark urine:1,joint pain:2,vomiting:2,,,,
hepatitis A,nausea:1,yellowish skin:1,joint pain:2,vomiting:2,,,,
hepatitis A,dark urine:1,yellowish skin:1,joint pain:2,vomiting:2,,,,
hepatitis A,dark urine:1,yellowish skin:1,joint pain:2,vomiting:2,,,,
hepatitis A,dark urine:1,yellowish skin:1,joint pain:2,vomiting:2,,,,
hepatitis A,dark urine:1,yellowish skin:1,joint pain:2,vomiting:2,,,,
Hepatitis B,itching:1,yellowish skin:1,fatigue:1,lethargy:1,,,,
Hepatitis B,itching:1,yellowish skin:1,fatigue:1,lethargy:1,,,,
Hepatitis B,dark urine:1,yellowish skin:1,fatigue:1,lethargy:1,,,,
Hepatitis B,itching:1,dark urine:1,yellowish skin:1,lethargy:1,,,,
Hepatitis B,itching:1,dark urine:1,yellowish skin:1,fatigue:1,,,,
Hepatitis B,itching:1,dark urine:1,fatigue:1,lethargy:1,,,,
Hepatitis B,itching:1,yellowish skin:1,fatigue:1,lethargy:1,,,,
Hepatitis B,itching:1,yellowish skin:1,fatigue:1,lethargy:1,,,,
Hepatitis B,itching:1,yellowish skin:1,fatigue:1,lethargy:1,,,,
Hepatitis B,itching:1,yellowish skin:1,fatigue:1,lethargy:1,,,,
Hepatitis C,nausea:1,loss of appetite:1,yellowish skin:1,fatigue:1,,,,
Hepatitis C,nausea:1,loss of appetite:1,yellowish skin:1,fatigue:1,,,,
Hepatitis C,nausea:1,loss of appetite:1,yellowish skin:1,yellowing of eyes:1,,,,
Hepatitis C,nausea:1,yellowing of eyes:1,loss of appetite:1,fatigue:1,,,,
Hepatitis C,loss of appetite:1,yellowish skin:1,fatigue:1,yellowing of eyes:1,,,,
Hepatitis C,nausea:1,yellowing of eyes:1,yellowish skin:1,fatigue:1,,,,
Hepatitis C,nausea:1,loss of appetite:1,yellowish skin:1,fatigue:1,,,,
Hepatitis C,nausea:1,loss of appetite:1,yellowish skin:1,fatigue:1,,,,
Hepatitis C,nausea:1,loss of appetite:1,yellowish skin:1,fatigue:1,,,,
Hepatitis C,nausea:1,loss of appetite:1,yellowish skin:1,fatigue:1,,,,
Hepatitis D,yellowish skin:1,fatigue:1,joint pain:2,vomiting:2,,,,
Hepatitis D,dark urine:1,yellowish skin:1,fatigue:1,vomiting:2,,,,
Hepatitis D,dark urine:1,yellowish skin:1,fatigue:1,joint pain:2,,,,
Hepatitis D,dark urine:1,yellowish skin:1,joint pain:2,vomiting:2,,,,
Hepatitis D,dark urine:1,fatigue:1,joint pain:2,vomiting:2,,,,
Hepatitis D,yellowish skin:1,fatigue:1,joint pain:2,vomiting:2,,,,
Hepatitis D,yellowish skin:1,fatigue:1,joint pain:2,vomiting:2,,,,
Hepatitis D,yellowish skin:1,fatigue:1,joint pain:2,vomiting:2,,,,
Hepatitis D,yellowish skin:1,fatigue:1,joint pain:2,vomiting:2,,,,
Hepatitis D,yellowish skin:1,fatigue:1,joint pain:2,vomiting:2,,,,
Hepatitis E,fatigue:1,high fever:2,joint pain:2,vomiting:2,,,,
Hepatitis E,fatigue:1,high fever:2,joint pain:2,vomiting:2,,,,
Hepatitis E,fatigue:1,high fever:2,joint pain:2,vomiting:2,,,,
Hepatitis E,yellowish skin:1,fatigue:1,high fever:2,vomiting:2,,,,
Hepatitis E,yellowish skin:1,fatigue:1,high fever:2,joint pain:2,,,,
Hepatitis E,yellowish skin:1,high fever:2,joint pain:2,vomiting:2,,,,
Hepatitis E,yellowish skin:1,fatigue:1,joint pain:2,vomiting:2,,,,
Hepatitis E,fatigue:1,high fever:2,joint pain:2,vomiting:2,,,,
Hepatitis E,fatigue:1,high fever:2,joint pain:2,vomiting:2,,,,
Hepatitis E,fatigue:1,high fever:2,joint pain:2,vomiting:2,,,,
Alcoholic hepatitis,abdominal pain:2,yellowish skin:1,swelling of stomach:1,vomiting:2,,,,
Alcoholic hepatitis,abdominal pain:2,yellowish skin:1,swelling of stomach:1,vomiting:2,,,,
Alcoholic hepatitis,abdominal pain:2,yellowish skin:1,swelling of stomach:1,distention of abdomen:1,,,,
Alcoholic hepatitis,abdominal pain:2,swelling of stomach:1,distention of abdomen:1,vomiting:2,,,,
Alcoholic hepatitis,swelling of stomach:1,yellowish skin:1,distention of abdomen:1,vomiting:2,,,,
Alcoholic hepatitis,abdominal pain:2,yellowish skin:1,distention of abdomen:1,vomiting:2,,,,
Alcoholic hepatitis,abdominal pain:2,yellowish skin:1,swelling of stomach:1,vomiting:2,,,,
Alcoholic hepatitis,abdominal pain:2,yellowish skin:1,swelling of stomach:1,vomiting:2,,,,
Alcoholic hepatitis,abdominal pain:2,yellowish skin:1,swelling of stomach:1,vomiting:2,,,,
Alcoholic hepatitis,abdominal pain:2,yellowish skin:1,swelling of stomach:1,vomiting:2,,,,
Tuberculosis,chills:1,fatigue:1,weight loss:1,vomiting:2,,,,
Tuberculosis,chills:1,fatigue:1,weight loss:1,vomiting:2,,,,
Tuberculosis,cough:1,fatigue:1,weight loss:1,vomiting:2,,,,
Tuberculosis,chills:1,fatigue:1,weight loss:1,cough:1,,,,
Tuberculosis,chills:1,cough:1,weight loss:1,vomiting:2,,,,
Tuberculosis,chills:1,cough:1,fatigue:1,vomiting:2,,,,
Tuberculosis,chills:1,fatigue:1,weight loss:1,vomiting:2,,,,
Tuberculosis,chills:1,fatigue:1,weight loss:1,vomiting:2,,,,
Tuberculosis,chills:1,fatigue:1,weight loss:1,vomiting:2,,,,
Tuberculosis,chills:1,fatigue:1,weight loss:1,vomiting:2,,,,
Common Cold,chills:1,fatigue:1,continuous sneezing:1,cough:1,,,,
Common Cold,chills:1,fatigue:1,continuous sneezing:1,cough:1,,,,
Common Cold,chills:1,fatigue:1,high fever:2,cough:1,,,,
Common Cold,high fever:2,fatigue:1,continuous sneezing:1,cough:1,,,,
Common Cold,high fever:2,chills:1,continuous sneezing:1,cough:1,,,,
Common Cold,chills:1,fatigue:1,continuous sneezing:1,high fever:2,,,,
Common Cold,chills:1,fatigue:1,continuous sneezing:1,cough:1,,,,
Common Cold,chills:1,fatigue:1,continuous sneezing:1,cough:1,,,,
Common Cold,chills:1,fatigue:1,continuous sneezing:1,cough:1,,,,
Common Cold,chills:1,fatigue:1,continuous sneezing:1,cough:1,,,,
Pneumonia,chills:1,fatigue:1,high fever:2,cough:1,,,,
Pneumonia,chills:1,fatigue:1,high fever:2,cough:1,,,,
Pneumonia,chills:1,fatigue:1,high fever:2,cough:1,,,,
Pneumonia,breathlessness:3,fatigue:1,high fever:2,cough:1,,,,
Pneumonia,chills:1,breathlessness:3,high fever:2,cough:1,,,,
Pneumonia,chills:1,breathlessness:3,fatigue:1,high fever:2,,,,
Pneumonia,chills:1,breathlessness:3,fatigue:1,cough:1,,,,
Pneumonia,chills:1,fatigue:1,high fever:2,cough:1,,,,
Pneumonia,chills:1,fatigue:1,high fever:2,cough:1,,,,
Pneumonia,chills:1,fatigue:1,high fever:2,cough:1,,,,
Dimorphic hemmorhoids(piles),constipation:1,pain during bowel movements:2,bloody stool:1,pain in anal region:2,,,,
Dimorphic hemmorhoids(piles),constipation:1,pain during bowel movements:2,bloody stool:1,pain in anal region:2,,,,
Dimorphic hemmorhoids(piles),constipation:1,pain during bowel movements:2,bloody stool:1,pain in anal region:2,,,,
Dimorphic hemmorhoids(piles),irritation in anus:1,pain during bowel movements:2,bloody stool:1,pain in anal region:2,,,,
Dimorphic hemmorhoids(piles),irritation in anus:1,constipation:1,bloody stool:1,pain in anal region:2,,,,
Dimorphic hemmorhoids(piles),irritation in anus:1,constipation:1,pain during bowel movements:2,bloody stool:1,,,,
Dimorphic hemmorhoids(piles),irritation in anus:1,constipation:1,pain during bowel movements:2,pain in anal region:2,,,,
Dimorphic hemmorhoids(piles),constipation:1,pain during bowel movements:2,bloody stool:1,pain in anal region:2,,,,
Dimorphic hemmorhoids(piles),constipation:1,pain during bowel movements:2,bloody stool:1,pain in anal region:2,,,,
Dimorphic hemmorhoids(piles),constipation:1,pain during bowel movements:2,bloody stool:1,pain in anal region:2,,,,
Heart attack,sweating:1,breathlessness:3,chest pain:3,vomiting:2,,,,
Heart attack,sweating:1,breathlessness:3,chest pain:3,vomiting:2,,,,
Heart attack,,sweating:1,breathlessness:3,chest pain:3,,,,
Heart attack,,sweating:1,chest pain:3,vomiting:2,,,,
Heart attack,,breathlessness:3,chest pain:3,vomiting:2,,,,
Heart attack,,sweating:1,breathlessness:3,vomiting:2,,,,
Heart attack,sweating:1,breathlessness:3,chest pain:3,vomiting:2,,,,
Heart attack,,sweating:1,breathlessness:3,chest pain:3,,,,
Heart attack,,sweating:1,chest pain:3,vomiting:2,,,,
Heart attack,,breathlessness:3,chest pain:3,vomiting:2,,,,
Varicose veins,bruising:1,obesity:1,fatigue:1,cramps:1,,,,
Varicose veins,bruising:1,obesity:1,fatigue:1,cramps:1,,,,
Varicose veins,bruising:1,obesity:1,cramps:1,swollen legs:1,,,,
Varicose veins,bruising:1,obesity:1,fatigue:1,swollen legs:1,,,,
Varicose veins,obesity:1,swollen legs:1,fatigue:1,cramps:1,,,,
Varicose veins,bruising:1,swollen legs:1,fatigue:1,cramps:1,,,,
Varicose veins,bruising:1,obesity:1,fatigue:1,cramps:1,,,,
Varicose veins,bruising:1,obesity:1,fatigue:1,cramps:1,,,,
Varicose veins,bruising:1,obesity:1,fatigue:1,cramps:1,,,,
Varicose veins,bruising:1,obesity:1,fatigue:1,cramps:1,,,,
Hypothyroidism,cold hands and feets:1,mood swings:1,fatigue:1,weight gain:1,,,,
Hypothyroidism,cold hands and feets:1,mood swings:1,fatigue:1,weight gain:1,,,,
Hypothyroidism,cold hands and feets:1,mood swings:1,weight gain:1,lethargy:1,,,,
Hypothyroidism,cold hands and feets:1,mood swings:1,weight gain:1,lethargy:1,,,,
Hypothyroidism,cold hands and feets:1,mood swings:1,fatigue:1,lethargy:1,,,,
Hypothyroidism,mood swings:1,fatigue:1,lethargy:1,weight gain:1,,,,
Hypothyroidism,cold hands and feets:1,fatigue:1,lethargy:1,weight gain:1,,,,
Hypothyroidism,cold hands and feets:1,mood swings:1,fatigue:1,weight gain:1,,,,
Hypothyroidism,cold hands and feets:1,mood swings:1,fatigue:1,weight gain:1,,,,
Hypothyroidism,cold hands and feets:1,mood swings:1,fatigue:1,weight gain:1,,,,
Hyperthyroidism,mood swings:1,fatigue:1,weight loss:1,restlessness:1,,,,
Hyperthyroidism,mood swings:1,fatigue:1,weight loss:1,restlessness:1,,,,
Hyperthyroidism,sweating:1,mood swings:1,weight loss:1,restlessness:1,,,,
Hyperthyroidism,sweating:1,fatigue:1,weight loss:1,restlessness:1,,,,
Hyperthyroidism,mood swings:1,sweating:1,fatigue:1,restlessness:1,,,,
Hyperthyroidism,mood swings:1,sweating:1,fatigue:1,weight loss:1,,,,
Hyperthyroidism,mood swings:1,fatigue:1,weight loss:1,restlessness:1,,,,
Hyperthyroidism,mood swings:1,fatigue:1,weight loss:1,restlessness:1,,,,
Hyperthyroidism,mood swings:1,fatigue:1,weight loss:1,restlessness:1,,,,
Hyperthyroidism,mood swings:1,fatigue:1,weight loss:1,restlessness:1,,,,
Hypoglycemia,anxiety:1,sweating:1,fatigue:1,vomiting:2,,,,
Hypoglycemia,anxiety:1,sweating:1,fatigue:1,vomiting:2,,,,
Hypoglycemia,anxiety:1,sweating:1,fatigue:1,vomiting:2,,,,
Hypoglycemia,sweating:1,fatigue:1,headache:1,anxiety:1,,,,
Hypoglycemia,anxiety:1,sweating:1,headache:1,vomiting:2,,,,
Hypoglycemia,sweating:1,fatigue:1,headache:1,vomiting:2,,,,
Hypoglycemia,anxiety:1,fatigue:1,headache:1,vomiting:2,,,,
Hypoglycemia,anxiety:1,sweating:1,fatigue:1,vomiting:2,,,,
Hypoglycemia,anxiety:1,sweating:1,fatigue:1,vomiting:2,,,,
Hypoglycemia,anxiety:1,sweating:1,fatigue:1,vomiting:2,,,,
Osteoarthristis,neck pain:2,hip joint pain:2,joint pain:2,knee pain:2,,,,
Osteoarthristis,neck pain:2,hip joint pain:2,joint pain:2,knee pain:2,,,,
Osteoarthristis,neck pain:2,hip joint pain:2,swelling joints:1,knee pain:2,,,,
Osteoarthristis,hip joint pain:2,swelling joints:1,joint pain:2,knee pain:2,,,,
Osteoarthristis,neck pain:2,swelling joints:1,joint pain:2,hip joint pain:2,,,,
Osteoarthristis,neck pain:2,swelling joints:1,joint pain:2,knee pain:2,,,,
Osteoarthristis,neck pain:2,hip joint pain:2,joint pain:2,knee pain:2,,,,
Osteoarthristis,neck pain:2,hip joint pain:2,joint pain:2,knee pain:2,,,,
Osteoarthristis,neck pain:2,hip joint pain:2,joint pain:2,knee pain:2,,,,
Osteoarthristis,neck pain:2,hip joint pain:2,joint pain:2,knee pain:2,,,,
Arthritis,stiff neck:1,movement stiffness:1,swelling joints:1,muscle weakness:1,,,,
Arthritis,stiff neck:1,movement stiffness:1,swelling joints:1,muscle weakness:1,,,,
Arthritis,stiff neck:1,movement stiffness:1,swelling joints:1,painful walking:2,,,,
Arthritis,movement stiffness:1,swelling joints:1,painful walking:2,muscle weakness:1,,,,
Arthritis,stiff neck:1,movement stiffness:1,painful walking:2,muscle weakness:1,,,,
Arthritis,stiff neck:1,swelling joints:1,painful walking:2,muscle weakness:1,,,,
Arthritis,stiff neck:1,movement stiffness:1,swelling joints:1,muscle weakness:1,,,,
Arthritis,stiff neck:1,movement stiffness:1,swelling joints:1,muscle weakness:1,,,,
Arthritis,stiff neck:1,movement stiffness:1,swelling joints:1,muscle weakness:1,,,,
Arthritis,stiff neck:1,movement stiffness:1,swelling joints:1,muscle weakness:1,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,spinning movements:1,headache:1,vomiting:2,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,spinning movements:1,headache:1,vomiting:2,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,spinning movements:1,loss of balance:1,headache:1,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,spinning movements:1,loss of balance:1,vomiting:2,,,,
(vertigo) Paroymsal  Positional Vertigo,spinning movements:1,loss of balance:1,headache:1,vomiting:2,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,loss of balance:1,headache:1,vomiting:2,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,spinning movements:1,headache:1,vomiting:2,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,spinning movements:1,headache:1,vomiting:2,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,spinning movements:1,headache:1,vomiting:2,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea:1,loss of balance:1,headache:1,vomiting:2,,,,
Acne,skin rash:1,blackheads:1,scurring:1,pus filled pimples:1,,,,
Acne,skin rash:1,blackheads:1,scurring:1,pus filled pimples:1,,,,
Acne,,blackheads:1,scurring:1,pus filled pimples:1,,,,
Acne,,skin rash:1,blackheads:1,scurring:1,,,,
Acne,,skin rash:1,scurring:1,pus filled pimples:1,,,,
Acne,,skin rash:1,blackheads:1,pus filled pimples:1,,,,
Acne,skin rash:1,blackheads:1,scurring:1,pus filled pimples:1,,,,
Acne,,skin rash:1,blackheads:1,pus filled pimples:1,,,,
Acne,,skin rash:1,scurring:1,pus filled pimples:1,,,,
Acne,,skin rash:1,blackheads:1,scurring:1,,,,
Urinary tract infection,foul smell of urine:1,burning micturition:1,continuous feel of urine:1,bladder discomfort:1,,,,
Urinary tract infection,foul smell of urine:1,burning micturition:1,continuous feel of urine:1,bladder discomfort:1,,,,
Urinary tract infection,,bladder discomfort:1,continuous feel of urine:1,foul smell of urine:1,,,,
Urinary tract infection,,burning micturition:1,continuous feel of urine:1,foul smell of urine:1,,,,
Urinary tract infection,,burning micturition:1,continuous feel of urine:1,bladder discomfort:1,,,,
Urinary tract infection,,foul smell of urine:1,burning micturition:1,bladder discomfort:1,,,,
Urinary tract infection,foul smell of urine:1,burning micturition:1,continuous feel of urine:1,bladder discomfort:1,,,,
Urinary tract infection,,burning micturition:1,continuous feel of urine:1,bladder discomfort:1,,,,
Urinary tract infection,,bladder discomfort:1,continuous feel of urine:1,foul smell of urine:1,,,,
Urinary tract infection,,burning micturition:1,continuous feel of urine:1,bladder discomfort:1,,,,
Psoriasis,skin peeling:1,skin rash:1,silver like dusting:1,joint pain:2,,,,
Psoriasis,skin peeling:1,skin rash:1,silver like dusting:1,joint pain:2,,,,
Psoriasis,skin peeling:1,silver like dusting:1,joint pain:2,small dents in nails:1,,,,
Psoriasis,skin peeling:1,skin rash:1,silver like dusting:1,small dents in nails:1,,,,
Psoriasis,skin rash:1,silver like dusting:1,joint pain:2,small dents in nails:1,,,,
Psoriasis,skin peeling:1,skin rash:1,joint pain:2,small dents in nails:1,,,,
Psoriasis,skin peeling:1,skin rash:1,silver like dusting:1,joint pain:2,,,,
Psoriasis,skin peeling:1,skin rash:1,silver like dusting:1,joint pain:2,,,,
Psoriasis,skin peeling:1,skin rash:1,silver like dusting:1,joint pain:2,,,,
Psoriasis,skin peeling:1,skin rash:1,silver like dusting:1,joint pain:2,,,,
Impetigo,red sore around nose:1,skin rash:1,blister:1,high fever:2,,,,
Impetigo,red sore around nose:1,skin rash:1,blister:1,high fever:2,,,,
Impetigo,red sore around nose:1,blister:1,high fever:2,yellow crust ooze:1,,,,
Impetigo,red sore around nose:1,skin rash:1,blister:1,yellow crust ooze:1,,,,
Impetigo,red sore around nose:1,skin rash:1,blister:1,yellow crust ooze:1,,,,
Impetigo,red sore around nose:1,skin rash:1,high fever:2,yellow crust ooze:1,,,,
Impetigo,skin rash:1,blister:1,high fever:2,yellow crust ooze:1,,,,
Impetigo,red sore around nose:1,skin rash:1,blister:1,high fever:2,,,,
Impetigo,red sore around nose:1,skin rash:1,blister:1,high fever:2,,,,
Impetigo,red sore around nose:1,skin rash:1,blister:1,yellow crust ooze:1,,,,
Fungal infection,itching:1,skin rash:1,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,,skin rash:1,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,skin rash:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,skin rash:1,nodal skin eruptions:1,,,,
Fungal infection,,skin rash:1,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,skin rash:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,skin rash:1,nodal skin eruptions:1,,,,
Fungal infection,itching:1,skin rash:1,nodal skin eruptions:1,dischromic  patches:1,,,,
Allergy,chills:1,shivering:1,continuous sneezing:1,watering from eyes:1,,,,
Allergy,chills:1,shivering:1,,watering from eyes:1,,,,
Allergy,chills:1,,continuous sneezing:1,watering from eyes:1,,,,
Allergy,,shivering:1,continuous sneezing:1,watering from eyes:1,,,,
Allergy,chills:1,shivering:1,,continuous sneezing:1,,,,
Allergy,chills:1,shivering:1,,watering from eyes:1,,,,
Allergy,chills:1,,continuous sneezing:1,watering from eyes:1,,,,
Allergy,,shivering:1,continuous sneezing:1,watering from eyes:1,,,,
Allergy,chills:1,shivering:1,,continuous sneezing:1,,,,
Allergy,chills:1,shivering:1,continuous sneezing:1,watering from eyes:1,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,cough:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,acidity:1,cough:1,stomach pain:2,vomiting:2,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,cough:1,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,acidity:1,cough:1,ulcers on tongue:1,vomiting:2,,,,
GERD,cough:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,acidity:1,cough:1,stomach pain:2,vomiting:2,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,cough:1,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,nausea:1,loss of appetite:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,loss of appetite:1,yellowish skin:1,,,,
Chronic cholestasis,itching:1,nausea:1,loss of appetite:1,vomiting:2,,,,
Chronic cholestasis,itching:1,loss of appetite:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
